Text,Time
PEDAGOGICAL CONTENT KNOWLEDGE; MATHEMATICS; SCIENCE; ACHIEVEMENT;;CONCEPTIONS; IMPACT; PATTERNS; BELIEFS; TOOL,2019
EVOLUTION; TELEOLOGY; SCIENCE; ANTHROPOMORPHISM; ESSENTIALISM;;KNOWLEDGE; EDUCATION; EXPLANATION; ANALOGIES; BELIEFS,2019
EDUCATION; TECHNOLOGY; DETERMINANTS; PERCEPTIONS; ENGAGEMENT,2019
UNDERGRADUATE RESEARCH EXPERIENCES,2019
INTRODUCTORY BIOLOGY; PROFESSIONAL-DEVELOPMENT; SELF-EFFICACY; MATH;ANXIETY; MATHEMATICS; INTEGRATION; TEACHERS; STUDENTS; DEFICIT,2019
SKILLS,2019
SOCIAL SUPPORT; PERSONAL MASTERY; MENTAL-HEALTH; MOTIVATION;;ACHIEVEMENT; AUTONOMY; OPTIMISM; VALIDATION; DISTRESS; GENDER,2019
GRADUATE-STUDENTS; INTERNATIONAL STUDENTS; NEXT-GENERATION;;SOCIALIZATION; PERCEPTIONS; EXPERIENCES; SCIENCE; VARIABLES; NUMBER;;ATTRITION,2019
PERFORMANCE; STUDENTS; BIOLOGY; SCIENCE; ATTITUDES; TEXTBOOK,2019
UNDERGRADUATE RESEARCH EXPERIENCES; PROFESSIONAL-DEVELOPMENT;;SELF-EFFICACY; RESEARCH PROGRAMS; TEACHERS; STUDENTS; FACULTY;;ACHIEVEMENT; KNOWLEDGE; OUTCOMES,2019
MATHEMATICS; EXPERIENCES; ELEMENTARY; TEACHERS; CULTURE; PARTICIPATION;;CONSTRUCTION; TRAJECTORIES; CULTIVATION; STEREOTYPE,2019
PROTEGE PERCEPTIONS; FACULTY; WORK; CAREER; CONSEQUENCES; STUDENTS;;QUALITY; COLLEGE,2019
BIOLOGY TEACHERS; SCIENTIFIC VIEWS; COLLEGE-STUDENTS; BELIEFS; SCIENCE;;RELIGION; SCHOOLS; IMPACT,2019
SELF-EFFICACY; SCIENCE; EXPECTATIONS; MINORITIES; ENGAGEMENT; PEER,2019
COGNITIVE ARCHITECTURE; INSTRUCTIONAL-DESIGN; SELF-EXPLANATIONS;;SCIENCE; BIOLOGY; THINKING; KNOWLEDGE; FRAMEWORK; LOAD,2019
RETRIEVAL PRACTICE; CLASSROOM; LANGUAGE; SCIENCE; TERMINOLOGY;;RETENTION; TESTS,2019
EDUCATION; SCIENCE; UNIVERSITIES; FACULTY,2019
NATURAL-SELECTION; MODERN GENETICS; SCIENCE; VALIDATION; PHYSIOLOGY;;INDUCTION; CHEMISTRY; ENACTMENT; EDUCATION,2019
STUDENT PERFORMANCE; ORGANIC-CHEMISTRY; COLLEGE; SENSE; MINORITY;;SCIENCE; IMPLEMENTATION; INTERVENTION; ACHIEVEMENT; PERCEPTIONS,2019
SCIENCE; CLASSROOM; BIOLOGY; PERFORMANCE; KNOWLEDGE; TEACHER;;ACHIEVEMENT; PHYLOGENIES; ENGAGEMENT; STRATEGIES,2019
MISCONCEPTIONS; INVENTORY,2019
STEREOTYPE THREAT; COLLEGE SCIENCE; STUDENTS; CLASSROOM; GENDER;;PERFORMANCE,2019
PROJECT OWNERSHIP; STUDENT; INQUIRY; SCIENCE; CLASSROOM; FACULTY;;EDUCATION; TEACHERS; PERCEPTIONS; INTEGRATION,2019
SCIENCE; PERFORMANCE; ACHIEVEMENT; MODERATE,2019
OPEN EDUCATIONAL RESOURCES; PERCEPTIONS; STUDENT; ADOPTION,2019
EDUCATION; ANATOMY,2019
CONCEPTUAL CHANGE; THINKING; MISCONCEPTIONS; MECHANISMS; DISCOURSE;;SCIENCE; MODELS; HEAT,2019
IMPROVES PERFORMANCE; SELF-ASSESSMENT; MEMORY; PEER; FEEDBACK;;RETENTION; EXAMPLES; JUDGMENTS; BENEFITS; VALIDITY,2019
PROTEGE PERCEPTIONS; COLLEGE-STUDENTS; SELF-EFFICACY; PARTICIPATION;;INTERVENTIONS; EXPERIENCES; COMMITMENT; INTERESTS; BEHAVIOR; MAJORS,2019
SOCIAL COGNITIVE PREDICTORS; CAMPUS RACIAL CLIMATE; STEREOTYPE THREAT;;ACHIEVEMENT GOALS; SELF-AFFIRMATION; TASK VALUES; FIT INDEXES; IDENTITY;;COLLEGE; PERFORMANCE,2019
COGNITIVE TEST ANXIETY; PSYCHOLOGICAL INTERVENTIONS; STEREOTYPE THREAT;;ACHIEVEMENT GAP; MULTIPLE-CHOICE; PERFORMANCE; SCIENCE; REDUCE; IMPACT;;MIND,2019
COMPREHENSION; PHYSICS; VISUALIZATION; STUDENTS; NOVICE,2019
SELF-DETERMINATION THEORY; SOCIOSCIENTIFIC ISSUES; SITUATIONAL;MOTIVATION; SCIENCE-EDUCATION; SCIENTIFIC ISSUES; ACHIEVEMENT;;COMPETENCE; CHEMISTRY; KNOWLEDGE; LITERACY,2019
UNDERGRADUATE RESEARCH EXPERIENCES; STUDENT CHARACTERISTICS; PROJECT;OWNERSHIP; HIGHER-EDUCATION; SCIENCE; CLASSROOM; COLLEGE; ALTERNATIVES;;REGRESSION; PIPELINE,2019
SELF-EFFICACY; STUDENTS; SUPPORT; STRESS; PEER; PREDICTORS; COMMUNITY;;IDENTITY; VALUES; SCHOOL,2019
EXPERIENCES; MODEL,2019
NA,2019
LEARNING PROGRESSION; NATURAL-SELECTION,2019
EXPLANATIONS; KNOWLEDGE; MODELS,2019
PERFORMANCE; ENGAGEMENT; PERSISTENCE; FEEDBACK; SCIENCE; SCHOOL; DEEP,2019
COMPREHENSION; KNOWLEDGE; TESTS,2019
SELF-EFFICACY; SCIENCE; CHALLENGES; BELIEFS,2019
KNOWLEDGE CONSTRUCTION; SOCIAL CONSTRUCTIVISM; SEATING ARRANGEMENTS;;DISCURSIVE IDENTITY; HELPING-BEHAVIOR; NETWORK ANALYSIS; CLASSROOM;;SCIENCE; ENGAGEMENT; DISCOURSE,2019
WORK; EXPLORATION; CONSTRUCT; EDUCATION; BENEFITS; JOB,2019
SELF-DETERMINATION THEORY; SCHOOL-STUDENTS; MODIFIED FOOD; OUTCOMES;;BIOTECHNOLOGY; RELATEDNESS; PERSPECTIVE; COMPETENCE; MOTIVATION;;CURRICULUM,2019
BENEFITS; FEEDBACK,2019
UNDERGRADUATE RESEARCH; GENDER-DIFFERENCES; COLLEGE-STUDENTS;;ACADEMIC-SUCCESS; SCIENCE; SCIENTISTS; IDENTITY; RACE; EXPERIENCES; NEED,2019
STEREOTYPE THREAT; ENGAGEMENT; CLASSROOM; STUDENTS; MATH,2019
SCIENCE; CURRICULUM; KNOWLEDGE; FRAMEWORK; INSTRUCTION,2019
WRITING-TO-LEARN; SELF-EFFICACY; EPISTEMOLOGICAL BELIEFS; PERSONAL;EPISTEMOLOGY; SCIENCE-EDUCATION; COLLEGE-STUDENTS; UNIVERSITY;;ACHIEVEMENT; MODEL; MOTIVATION,2019
TEACHER COMMUNICATION BEHAVIORS; ACADEMIC-PERFORMANCE; COLLEGE-STUDENTS;;ACHIEVEMENT EMOTIONS; CLASSROOM; STRESS; PARTICIPATION; ENGAGEMENT;;MOTIVATION; SCIENCE,2019
FACULTY; COGNITION; POLICY; MODEL; MATH,2019
SCIENCE; BIOLOGY; INFORMATION; STATISTICS; CLASSROOM; FRAMEWORK;;1ST-HAND,2019
PROTEGE PERCEPTIONS; STUDENTS; CAREER; PERSPECTIVE; EXPERIENCES;;SCHOLARS; BENEFITS; FACULTY; VALUES; SKILLS,2019
MEDICAL-STUDENTS; DEPRESSIVE SYMPTOMS; GRADUATE; INTERVENTIONS; STRESS;;IMPACT; COMPLETION; PREVALENCE; ATTRITION; EDUCATION,2019
UNDERGRADUATE RESEARCH; PROPENSITY SCORE; ENGAGEMENT; EDUCATION,2019
COLLEGE-STUDENTS; JUDGMENTS; KNOWLEDGE; UNAWARE; METACOGNITION;;PERFORMANCE; CHEMISTRY; EDUCATION; EFFICACY; PREDICT,2019
RESEARCH EXPERIENCE; SELF-EFFICACY; BIOINFORMATICS EDUCATION;;INTRODUCTORY SCIENCE; EXPRESSION ANALYSIS; GENE-EXPRESSION; STUDENTS;;GENOMICS; CHOICE; AUXIN,2019
MULTIPLE-CHOICE TESTS; CONSTRUCT-VALIDITY; PERFORMANCE; QUESTION;;THINKING,2019
CHILDRENS METACOGNITION; EDUCATION; FLUENCY; COMPETENCE; HEURISTICS,2019
TARGETED ASSESSMENT; COLLABORATION; INTEGRATION; CHEMISTRY; PHYSICS;;WORK,2019
MULTIPLE-CHOICE; IMPROVES PERFORMANCE; RETRIEVAL PRACTICE;;COLLEGE-STUDENTS; SHORT-ANSWER; STRATEGIES; RETENTION; LEARNERS;;BENEFITS; MIDDLE,2019
REGRESSION; BIOLOGY; ACHIEVEMENT; INSTRUCTION; PEDAGOGY; GAINS,2019
MULTIPLE-TRUE-FALSE; CONCEPT INVENTORY; GENETICS; TOOL,2019
ANALYTICS; FACULTY,2019
CONCEPT INVENTORY; BIOLOGY; CHALLENGES; KNOWLEDGE; SCIENCE,2019
SCIENCE; PERFORMANCE; BIOLOGY; IMPACT,2019
SEEKING SOCIAL SUPPORT; ACHIEVEMENT GOALS; IMPLICIT THEORIES;;SELF-ESTEEM; UNIVERSITY-STUDENTS; COPING STRATEGIES; MOTIVATION; FEAR;;PERFORMANCE; SUCCESS,2019
PROJECT OWNERSHIP; EDUCATION; BENEFITS,2019
SAMPLE-SIZE; COEFFICIENT; NUMBER; WOMEN; RECOMMENDATIONS; RELIABILITY;;INQUIRY; SCIENCE; INDEXES; VALUES,2019
SECONDARY SCIENCE TEACHERS; DIFFERENT INDUCTION-PROGRAMS;;PROFESSIONAL-DEVELOPMENT; 1ST YEAR; PRESERVICE; THINKING; FACULTY;;INSTRUCTION; KNOWLEDGE; BARRIERS,2019
RESEARCH TRENDS; LEARNING WORK; METAANALYSIS; AGREEMENT; IMPACT,2019
ACHIEVEMENT; CLASSROOMS; GAINS; SENSE,2019
STEM,2019
NATIONAL-INSTITUTES; PREDICTIVE-VALIDITY; SCHOOL,2019
LANGUAGE; VOCABULARY; SCIENCE; EDUCATION,2019
RELEVANCE-RELEVANT STATISTICS; PULSE VISION; KNOWLEDGE; LITERACY;;QUALITY; CHOICE; BAR; CONSTRUCTION; PRINCIPLES; THINKING,2018
ACHIEVEMENT; SCIENCE,2018
LEADERSHIP; EDUCATION,2018
UNDERGRADUATE RESEARCH EXPERIENCES; MEANINGFUL ASSESSMENT;;SELF-DETERMINATION; SCIENCE; VIEWS; BENEFITS; COURSES; WOMEN; SENSE,2018
UNDERGRADUATE RESEARCH EXPERIENCES; PROJECT OWNERSHIP; PERSISTENCE;;SCIENCES,2018
RESEARCH EXPERIENCES; SELF-EXPLANATIONS; ACHIEVEMENT; STUDENTS;;INSTRUCTION; PERSISTENCE; MEANINGFUL; EFFICACY,2018
GUAM,2018
METAANALYSIS; PROGRAM,2018
CHEMISTRY; PROGRESSION; BIOLOGY,2018
STUDENT PERFORMANCE; FEEDBACK; SCIENCE; THINKING; REFLECTION; EDUCATION;;BIOLOGY; IMPACT; MODEL; PEER,2018
EDUCATION; INTEGRATION; BENEFITS; STUDENTS,2018
DECISION-MAKING; GRADUATE-EDUCATION; SCIENCE; HEURISTICS; RATIONALITY;;SPONSORSHIP; TECHNOLOGY; KNOWLEDGE; STUDENTS; ANATOMY,2018
SCHOOL SUCCESS; IDENTITY WORK; STUDENTS; EXPERIENCES; ACHIEVEMENT;;PARTICIPATION; ELEMENTARY; CONTRIBUTE; SCIENTIST; BENEFITS,2018
DIAGNOSTIC-ASSESSMENT; PROGRESSION; UNDERSTANDINGS; ACHIEVEMENT;;INHERITANCE; BIOLOGY; GENES,2018
BIOLOGY,2018
DEVELOPMENT PROGRAMS; FACULTY; SCIENCE; RACE,2018
STUDENT SELF-ASSESSMENT; BIOLOGY COURSES; OWN INCOMPETENCE;;HIGHER-EDUCATION; CLASS SIZE; FACULTY; METAANALYSIS; PEER; INSTRUCTION;;PERFORMANCE,2018
IMPLICIT THEORIES; ACHIEVEMENT; PERCEPTIONS; PERFORMANCE,2018
CLASSROOM; PERFORMANCE; SCIENCE; LECTURE,2018
UNDERGRADUATE BIOLOGY; COLLEGE SCIENCE; CULTURE; ASSOCIATION;;ACHIEVEMENT; INQUIRY; STEM,2018
LANGUAGE; INTERPRETERS; EPISTEMOLOGY; PEOPLE,2018
PHYSICIAN-SCIENTIST; DOCTORAL STUDENTS; MEDICAL-RESEARCH; CAREER PATHS;;EDUCATION; ATTRITION,2018
COLLABORATIVE LEARNING ENVIRONMENTS; COLLECTIVE INTELLIGENCE; PEER;COLLABORATION; GROUP PROJECT; PERFORMANCE; INTERDEPENDENCE; CONFLICT;;SCIENCE; METAANALYSIS; MATHEMATICS,2018
SCIENTIFIC MANUSCRIPT; ADULT LEARNERS; SELF-EFFICACY; APPREHENSION;;PUBLICATION; WRITERS; PROSE,2018
PHYSICS FACULTY; ASSISTANTS; BARRIERS; SCIENCE; MATHEMATICS; CHEMISTRY;;MODEL,2018
UNDERGRADUATE RESEARCH EXPERIENCES; SCIENCE; FRAMEWORK; STUDENTS;;COLLEGE; BIOLOGY; SCHOOL; TIME,2018
MOLECULAR-GENETICS; SCIENCE-EDUCATION; TEACHERS TALK; BIOLOGY;;FRAMEWORK; THINKING,2018
UNDERGRADUATE RESEARCH EXPERIENCES; RANDOMIZED GROUP COMPARISONS;;ROLE-MODELS; COLLEGE-STUDENTS; RESEARCH PROGRAMS; MISSING VALUES;;SELF-EFFICACY; SCIENCE; EDUCATION; IMPACT,2018
ACADEMIC-PERFORMANCE; INTRODUCTORY BIOLOGY; EXPERT PERFORMANCE; EXAM;PERFORMANCE; ASSESSMENTS; ACQUISITION; PHYSIOLOGY; CLASSROOM; STUDENTS;;IMPACT,2018
SOUTH-AFRICAN UNIVERSITY; MOTIVATED STRATEGIES; ACADEMIC-PERFORMANCE;;PEER INSTRUCTION; SELF-REGULATION; COLLEGE; STUDENT; QUESTIONNAIRE;;SUCCESS; HABITS,2018
CONCEPT INVENTORIES; BIOLOGY; MISCONCEPTIONS; SCIENCE; BLOOMS;;INSTRUCTION; MATHEMATICS; CHALLENGES; QUESTIONS; EDUCATION,2018
LEARNING PROGRESSION; SCIENCE; EXPLANATION; CHEMISTRY; THINKING;;INQUIRY; SYSTEMS,2018
PERFORMANCE; MODEL; BIAS,2018
CAREER CHOICES; STUDENTS,2018
MOLECULAR-GENETICS; STUDENTS UNDERSTANDINGS; COGNITIVE-PROCESSES; SCHOOL;TEXTBOOKS; LANDSCAPE MODEL; TEACHERS TALK; EDUCATION; SCIENCE;;COMPREHENSION; BIOCHEMISTRY,2018
CHEMICAL-REACTIONS; SYSTEM,2018
STUDENT PERFORMANCE; EXPLANATIONS; ACHIEVEMENT; EFFICACY; ANATOMY;;SCIENCE,2018
EXPECTANCY-VALUE THEORY; PERFORMANCE; CAPACITY; SCIENCE; TUTORS,2018
RESEARCH EXPERIENCES; PROJECT OWNERSHIP; DIFFERENCE; CULTURE; COLLEGE;;SCHOOL; MODEL; SELF,2018
COLLEGE-STUDENTS; THINKING; EVOLUTION; CLASSIFICATION; MODELS,2018
NATURAL KIND; ESSENTIALIST; INDUCTION; BELIEFS; SCIENCE;;ANTHROPOMORPHISM; EXPLANATIONS; RESOURCES; TELEOLOGY; NAIVE,2018
CONCEPTUAL CHANGE; SCIENCE; PHOTOSYNTHESIS; UNDERGRADUATE;;CONSTRUCTIVISM; ANALOGIES; COMMUNITY; EDUCATION; PHYSICS,2018
SCIENCE; BIOLOGY; LEARN,2018
PEER; INSTRUCTION; ACHIEVEMENT; DISCOURSE; PERFORMANCE; TECHNOLOGY;;UNIVERSITY; QUESTIONS; FRAMEWORK; IMPACT,2018
COMMUNITIES; EDUCATION; PARTICIPATION; ETHNOGRAPHY; PERCEPTION;;UNIVERSITY; SCIENCE,2018
TEACHING PRACTICE GAP; UNKNOWN FUNCTION,2018
CLASS CONCEPT QUESTIONS; STUDENT; PERFORMANCE,2018
MOLECULAR-STRUCTURE; EXPLANATIONS; MAJORS; SYSTEM; IMPACT; EXPERT;;IDEAS; MODEL,2018
STUDENTS; ATTITUDES; LITERACY; EFFICACY; FEEDBACK; THINKING; FACULTY;;BIOLOGY; MODULES; GAINS,2018
FACULTY; MEDICINE; DIVERSITY; EXPERIENCES; PROMOTION; PIPELINE; SCHOOL;;LEAVE; RACE,2018
INTRODUCTORY BIOLOGY; PERFORMANCE; SCIENCE,2018
GAP CURRICULUM-DEVELOPMENT; SCIENCE FACULTY; INTRODUCTORY BIOLOGY;;UNITED-STATES; SPECIALTIES; VISION; KNOWLEDGE; DESIGN; SKILLS,2018
SCIENCE; COURSES; PERFORMANCE; EDUCATION; BARRIERS; GENETICS,2018
SCIENCE; TECHNOLOGY; STEM; ASSOCIATION; MATHEMATICS; BELIEFS; CHOICE,2018
INDIVIDUALISTIC GOAL STRUCTURES; POSITIVE INTERDEPENDENCE;;ACADEMIC-ACHIEVEMENT; MULTIPLE IMPUTATION; GROUP-PERFORMANCE; STUDENTS;;METAANALYSIS; ELABORATION; MECHANISMS; KNOWLEDGE,2018
WORK,2018
PEER INSTRUCTION; PHYSICS FACULTY; SCIENCE,2018
CONCEPT INVENTORY; BIOLOGY; TOOL; MISCONCEPTIONS; THINKING; PACKAGE;;ENERGY,2018
EXPERIENCE; RETENTION; SCIENCE,2018
NATIONAL-INSTITUTES; TEAM PERFORMANCE; SCIENCE; EXPERIENCES; COLOR,2018
UNDERGRADUATE BIOLOGY; SCIENCE; STUDENTS; CHOICE; GOALS; PREDICTORS;;INTERESTS; ATTRITION; EDUCATION; IMPACT,2018
UNDERGRADUATE RESEARCH EXPERIENCES; SACCHAROMYCES-CEREVISIAE; YEAST;;CLASSROOM; BIOLOGY; EVOLUTION; EDUCATION; STUDENTS; MODEL;;IMPLEMENTATION,2018
SECONDARY-SCHOOL; WORKED EXAMPLES; FOOD-CHAIN; STUDENTS; PHOTOSYNTHESIS;;AGREEMENT; IDEAS; TEXT,2018
CONCEPTUAL INVENTORY; NATURAL-SELECTION; STUDENTS; TOOL; MISCONCEPTIONS;;TEACHERS,2018
SCIENCE; EDUCATION; THINKING; BIOLOGY; FOCUS,2018
MATHEMATICS; FRAMEWORK; INVENTORY; COLLEGE; NOTICE; IMPACT; VIDEOS; TOOL,2018
MOTIVATED STRATEGIES; IMPLICIT THEORIES; BUY-IN; ACHIEVEMENT;;ENGAGEMENT; FACULTY; PERFORMANCE; GOALS,2018
PERFORMANCE; ENGAGEMENT; BIOLOGY; SCIENCE; POWER; WORK,2018
SCIENTIFIC THINKING; EDUCATION; STUDENTS; INQUIRY; SKILLS; PSYCHOLOGY;;VARIABLES; BIOLOGY,2018
COLLEGE-STUDENTS; SELF-EFFICACY; MISSING DATA; VALUES; SCIENCE;;PERFORMANCE; INTERESTS; IDENTITY; SCHOOL; WOMEN,2018
TEACHING PRACTICE GAP; SCIENCE-EDUCATION; STUDENTS IDEAS; CHEMISTRY;;BIOLOGY; REPRESENTATIONS; MECHANISMS; THINKING; ENERGY,2018
LEARNING PROGRESSION; ALTERNATIVE APPROACH; GENERAL-CHEMISTRY; STUDENTS;USE; THERMODYNAMICS; CONTEXT; SCIENCE; SYSTEMS; IDEAS; PHOTOSYNTHESIS,2018
EDUCATION SPECIALTIES; SCIENCE FACULTY; UNIVERSITY; SATISFACTION;;STRATEGIES; IDENTITY; STUDENTS; TIME,2018
SELF-EFFICACY; STUDENT-ACHIEVEMENT; FACULTY; LABORATORIES; EXPERIENCE;;UNIVERSITY; EDUCATION; ANXIETY; DESIGN; SCHOOL,2018
MEYERHOFF SCHOLARS PROGRAM; SCIENCE; STUDENTS; PARTICIPATION;;EXPERIENCES; DIVERSITY; EDUCATION; PERSISTENCE; RETENTION,2018
NA,2018
SCIENCE,2018
NA,2018
NA,2018
VISUAL LITERACY; REPRESENTATIONS; STUDENTS; BIOCHEMISTRY; SKILLS,2018
COLLEGE-STUDENTS; SELF-EFFICACY; SCALING-UP; DIVERSITY; EDUCATION;;OUTCOMES; SUCCESS; SCIENCE,2017
STUDENT PERFORMANCE; FEEDBACK; SCIENCE; PEER,2017
NATURAL-SELECTION; BIOLOGY TEACHERS; SCIENCE; ACCEPTANCE; BELIEFS;;PERCEPTIONS; INVENTORY; CLASSROOM; ATTITUDES; VIEWS,2017
SOCIAL-COGNITIVE APPROACH; PROFESSIONAL-DEVELOPMENT; FEEDBACK;;PERFORMANCE; MOTIVATION; EDUCATION,2017
AGREEMENT; INQUIRY,2017
PROFESSIONAL-DEVELOPMENT; INSTRUCTIONAL PRACTICES; STUDENTS EVALUATIONS;;BIOLOGY EDUCATION; FACULTY; MATHEMATICS; INQUIRY; COLLEGE; PHYSICS;;NUMBER,2017
NA,2017
INTRINSIC MOTIVATION; AUTONOMY SUPPORT; EXTRINSIC MOTIVATION; NEED;SATISFACTION; MEDICAL-STUDENTS; HIGH-SCHOOL; TEST-SCORES; ENGAGEMENT;;EDUCATION; BEHAVIOR,2017
COLORADO LEARNING ATTITUDES; GENDER-DIFFERENCES; CULTURAL-PERSPECTIVE;;MOTIVATION; ACHIEVEMENT; PERFORMANCE; INSTRUMENT; BELIEFS; BIOLOGY;;VIEWS,2017
SCIENCE,2017
METACOGNITION; KNOWLEDGE,2017
STUDENTS; CLASSROOM; EDUCATION; LITERACY; INQUIRY,2017
CAREER INTERESTS; PHD PROGRAM; EDUCATION; SCIENCE; VARIABLES; STUDENTS;;FUTURE; VALUES,2017
ACADEMIC-SUCCESS; EXPERIENCES; TRANSITION; DIVERSITY; IDENTITY; FACULTY;;SENSE,2017
INTRODUCTORY BIOLOGY; STEREOTYPE THREAT; MINORITY-STUDENTS; ACHIEVEMENT;GAP; IDENTITY; INTERVENTION; MATHEMATICS,2017
STUDENT-EVALUATIONS; PHYSICS; SCIENCE; WORK; GAP,2017
UNDERGRADUATE RESEARCH EXPERIENCES; BACTERIAL-GROWTH; INTERPRET;;TEMPERATURE; STATISTICS; KNOWLEDGE; LITERACY; DISPLAYS; THINKING;;FIGURES,2017
STEREOTYPE THREAT; ANXIETY; MATHEMATICS; ACHIEVEMENT; COLLEGE; SUCCESS;;DIVERSITY; GENETICS; STUDENTS; ABILITY,2017
LEARNING-STRATEGIES; GENERAL-CHEMISTRY; PHYSIOLOGY; IMPLEMENTATION;;ACHIEVEMENT; INVESTIGATE; UNIVERSITY; PROGRAM; SCIENCE; TEAM,2017
STEREOTYPE THREAT; MATH PERFORMANCE; AFRICAN-AMERICAN; GENDER; IDENTITY;;SCIENCE; IMPACT; WOMEN; METAANALYSIS; INTENTIONS,2017
RANDOMIZED CONTROLLED-TRIAL; SELF-DETERMINATION THEORY; ACADEMIC;MEDICINE; MINORITY FACULTY; PROGRAMS; RESEARCHERS; PERFORMANCE;;EXPERIENCES; GENDER; SCHOOL,2017
SELF-REPORT; SCIENCE; STUDENTS; EDUCATION; ACCURACY; STRATEGY; TEXTBOOK;;TEXTS; COMPREHENSION; ACHIEVEMENT,2017
EXPECTANCY-VALUE THEORY; FACULTY-DEVELOPMENT; ACHIEVEMENT; SCIENCE;;CHEMISTRY; KNOWLEDGE; BARRIERS; THINKING; MODELS,2017
LONGITUDINAL DATA-ANALYSIS; SCHOLARLY PRODUCTIVITY; GENDER; IMPACT;;SUCCESS; GAINS; PERCEPTIONS; DISPARITY; BENEFITS; INDEX,2017
EDUCATION,2017
STUDENTS UNDERSTANDINGS; SOCIOSCIENTIFIC ISSUES; CONCEPT INVENTORY;;SCIENCE; MISCONCEPTIONS; CHALLENGES; KNOWLEDGE; ATTITUDES; DILEMMAS,2017
BIOLOGY STUDENTS; MISCONCEPTIONS; ATTITUDES; YESTERDAY,2017
FORMATIVE ASSESSMENT; SELF-REGULATION; SCIENCE,2017
EFFECT SIZE; STATISTICAL SIGNIFICANCE; ATTITUDES; GENDER; CHEMISTRY;;MODEL; INTERESTS; ANXIETY,2017
STUDENTS; EXPERT; MISCONCEPTIONS; KNOWLEDGE; TOPICS; MODEL,2017
EXPECTANCY-VALUE THEORY; SELF-EFFICACY; VALUE BELIEFS; MATHEMATICAL;BIOLOGY; CHILDRENS COMPETENCE; GENDER-DIFFERENCES; ACHIEVEMENT;;STUDENTS; PERFORMANCE; MOTIVATION,2017
RESEARCH EXPERIENCES; SCIENTIFIC-RESEARCH; CLIMATE-CHANGE;;SELF-EFFICACY; SCIENCE; STUDENTS; PERFORMANCE; ACCEPTANCE; EVOLUTION;;PERCEPTIONS,2017
