"","PY","TI"
"STANGER-HALL KF, 2011, ",2011,"TEACHING STUDENTS HOW TO STUDY: A WORKSHOP ON INFORMATION PROCESSING AND SELF-TESTING HELPS STUDENTS LEARN"
"GOUVEA J, 2018, ",2018,"ALTERNATIVE PERSPECTIVES ON STUDENTS' REASONING ABOUT EMERGENT PROCESSES"
"ORNDORF HC, 2022, ",2022,"OPENING THE PATHWAY: AN EXAMPLE OF UNIVERSAL DESIGN FOR LEARNING AS A GUIDE TO INCLUSIVE TEACHING PRACTICES"
"MULNIX A, 2012, ",2012,"USING LEARNING PRINCIPLE IN FACULTY DEVELOPMENT WORKSHOPS"
"SADLER PM, 2013, ",2013,"ASSESSING THE LIFE SCIENCE KNOWLEDGE OF STUDENTS AND TEACHERS REPRESENTED BY THE K-8 NATIONAL SCIENCE STANDARDS"
"MCFARLAND JL, 2017, ",2017,"DEVELOPMENT AND VALIDATION OF THE HOMEOSTASIS CONCEPT INVENTORY"
"ARNESON JB, 2018, ",2018,"VISUAL LITERACY IN BLOOM: USING BLOOM'S TAXONOMY TO SUPPORT VISUAL LEARNING SKILLS"
"PERERA V, 2017, ",2017,"STUDENTS IN FULLY ONLINE PROGRAMS REPORT MORE POSITIVE ATTITUDES TOWARD SCIENCE THAN STUDENTS IN TRADITIONAL, IN-PERSON PROGRAMS"
"MAGANA AJ, 2014, ",2014,"A SURVEY OF SCHOLARLY LITERATURE DESCRIBING THE FIELD OF BIOINFORMATICS EDUCATION AND BIOINFORMATICS EDUCATIONAL RESEARCH"
"ABRAHAM JK, 2012, ",2012,"SHORT LESSON PLAN ASSOCIATED WITH INCREASED ACCEPTANCE OF EVOLUTIONARY THEORY AND POTENTIAL CHANGE IN THREE ALTERNATE CONCEPTIONS OF MACROEVOLUTION IN UNDERGRADUATE STUDENTS"
"JENSEN JL, 2015, ",2015,"IMPROVEMENTS FROM A FLIPPED CLASSROOM MAY SIMPLY BE THE FRUITS OF ACTIVE LEARNING"
"CARPENTER SK, 2017, ",2017,"STUDENTS' USE OF OPTIONAL ONLINE REVIEWS AND ITS RELATIONSHIP TO SUMMATIVE ASSESSMENT OUTCOMES IN INTRODUCTORY BIOLOGY"
"MORSE D, 2008, ",2008,"IMPLEMENTING CONCEPT-BASED LEARNING IN A LARGE UNDERGRADUATE CLASSROOM"
"SORTE CJB, 2020, ",2020,"A HIERARCHICAL MENTORING PROGRAM INCREASES CONFIDENCE AND EFFECTIVENESS IN DATA ANALYSIS AND INTERPRETATION FOR UNDERGRADUATE BIOLOGY STUDENTS"
"KOHN KP, 2018, ",2018,"CONNECTING STRUCTURE-PROPERTY AND STRUCTURE-FUNCTION RELATIONSHIPS ACROSS THE DISCIPLINES OF CHEMISTRY AND BIOLOGY: EXPLORING STUDENT PERCEPTIONS"
"MEADERS CL, 2019, ",2019,"""WHAT WILL I EXPERIENCE IN MY COLLEGE STEM COURSES?"" AN INVESTIGATION OF STUDENT PREDICTIONS ABOUT INSTRUCTIONAL PRACTICES IN INTRODUCTORY COURSES"
"CROWTHER G, 2012, ",2012,"USING SCIENCE SONGS TO ENHANCE LEARNING: AN INTERDISCIPLINARY APPROACH"
"ELLINGSON CL, 2021, ",2021,"CONNECTING THE DOTS FROM PROFESSIONAL DEVELOPMENT TO STUDENT LEARNING"
"CHAMANY K, 2008, ",2008,"MAKING BIOLOGY LEARNING RELEVANT TO STUDENTS: INTEGRATING PEOPLE, HISTORY, AND CONTEXT INTO COLLEGE BIOLOGY TEACHING"
"MARTINKOVA P, 2017, ",2017,"CHECKING EQUITY: WHY DIFFERENTIAL ITEM FUNCTIONING ANALYSIS SHOULD BE A ROUTINE PART OF DEVELOPING CONCEPTUAL ASSESSMENTS"
"FREEMAN LC, 2020, ",2020,"APPLYING GRAPH THEORY TO EXAMINE THE DYNAMICS OF STUDENT DISCUSSIONS IN SMALL-GROUP LEARNING (VOL 18, AR29, 2019)"
"SENSIBAUGH CA, 2017, ",2017,"UNDERGRADUATE PERFORMANCE IN SOLVING ILL-DEFINED BIOCHEMISTRY PROBLEMS"
"HIATT A, 2013, ",2013,"GETTING TO EVO-DEVO: CONCEPTS AND CHALLENGES FOR STUDENTS LEARNING EVOLUTIONARY DEVELOPMENTAL BIOLOGY"
"CARUSO SM, 2009, ",2009,"NON-STEM UNDERGRADUATES BECOME ENTHUSIASTIC PHAGE-HUNTERS"
"THOMPSON RC, 2016, ",2016,"PREPARATION OF UNDERREPRESENTED MALES FOR SCIENTIFIC CAREERS: A STUDY OF THE DR. JOHN H. HOPPS JR. DEFENSE RESEARCH SCHOLARS PROGRAM AT MOREHOUSE COLLEGE"
"AIKENS ML, 2021, ",2021,"THE CASE FOR BIOCALCULUS: IMPROVING STUDENT UNDERSTANDING OF THE UTILITY VALUE OF MATHEMATICS TO BIOLOGY AND AFFECT TOWARD MATHEMATICS"
"GORMALLY C, 2014, ",2014,"FEEDBACK ABOUT TEACHING IN HIGHER ED: NEGLECTED OPPORTUNITIES TO PROMOTE CHANGE"
"PETERMAN K, 2018, ",2018,"VALIDATING COMMON MEASURES OF SELF-EFFICACY AND CAREER ATTITUDES WITHIN INFORMAL HEALTH EDUCATION FOR MIDDLE AND HIGH SCHOOL STUDENTS"
"ALLEN D, 2011, ",2011,"RECENT RESEARCH IN SCIENCE TEACHING AND LEARNING"
"THOMAN DB, 2021, ",2021,"DIVERSITY INTERVENTIONS IN THE CLASSROOM: FROM RESISTANCE TO ACTION"
"SMITH JJ, 2013, ",2013,"ASSESSMENT OF STUDENT LEARNING ASSOCIATED WITH TREE THINKING IN AN UNDERGRADUATE INTRODUCTORY ORGANISMAL BIOLOGY COURSE"
"STARK LA, 2009, ",2009,"DARWIN ON THE WEB: RESOURCES FOR DARWIN 200 AND BEYOND"
"RANDLER C, 2016, ",2016,"INFLUENCE OF A DISSECTION VIDEO CLIP ON ANXIETY, AFFECT, AND SELF-EFFICACY IN EDUCATIONAL DISSECTION: A TREATMENT STUDY"
"BALSTER N, 2010, ",2010,"ENTERING RESEARCH: A COURSE THAT CREATES COMMUNITY AND STRUCTURE FOR BEGINNING UNDERGRADUATE RESEARCHERS IN THE STEM DISCIPLINES"
"BRAME CJ, 2008, ",2008,"A MOLECULAR GENETICS LABORATORY COURSE APPLYING BIOINFORMATICS AND CELL BIOLOGY IN THE CONTEXT OF ORIGINAL RESEARCH"
"DOU R, 2021, ",2021,"UNDERGRADUATE STEM MAJORS ON AND OFF THE PRE-MED/HEALTH TRACK: A STEM IDENTITY PERSPECTIVE"
"SHAH H, 2022, ",2022,"TALKING SCIENCE: UNDERGRADUATES' EVERYDAY CONVERSATIONS AS ACTS OF BOUNDARY SPANNING THAT CONNECT SCIENCE TO LOCAL COMMUNITIES"
"VASALY HL, 2013, ",2013,"NEWS FROM THE FUNDING FRONT: UPCOMING OPPORTUNITIES, PROPOSALS WELCOMED"
"KERR JQ, 2018, ",2018,"RECOGNIZING AND REDUCING BARRIERS TO SCIENCE AND MATH EDUCATION AND STEM CAREERS FOR NATIVE HAWAIIANS AND PACIFIC ISLANDERS"
"SCHINSKE J, 2014, ",2014,"TEACHING MORE BY GRADING LESS (OR DIFFERENTLY)"
"GELINAS KA, 2022, ",2022,"INVESTIGATING INSTRUCTOR TALK AMONG GRADUATE TEACHING ASSISTANTS IN UNDERGRADUATE BIOLOGY LABORATORY CLASSROOMS"
"WILLIAMS AE, 2011, ",2011,"ASSESSMENT OF LEARNING GAINS ASSOCIATED WITH INDEPENDENT EXAM ANALYSIS IN INTRODUCTORY BIOLOGY"
"D'AVANZO C, 2013, ",2013,"POST-VISION AND CHANGE: DO WE KNOW HOW TO CHANGE?"
"MILLER S, 2015, ",2015,"A PORTAL INTO BIOLOGY EDUCATION: AN ANNOTATED LIST OF COMMONLY ENCOUNTERED TERMS"
"BREWE E, 2013, ",2013,"FROM VISION TO CHANGE: EDUCATIONAL INITIATIVES AND RESEARCH AT THE INTERSECTION OF PHYSICS AND BIOLOGY"
"PRESZLER RW, 2009, ",2009,"REPLACING LECTURE WITH PEER-LED WORKSHOPS IMPROVES STUDENT LEARNING"
"DOLAN EL, 2014, ",2014,"THANKS!"
"WEBER CF, 2016, ",2016,"BEYOND THE CELL: USING MULTISCALAR TOPICS TO BRING INTERDISCIPLINARITY INTO UNDERGRADUATE CELLULAR BIOLOGY COURSES"
"TANNER KD, 2011, ",2011,"RECONSIDERING ""WHAT WORKS"""
"GLYKOS NM, 2011, ",2011,"THE 11TH MISCONCEPTION?"
"TIBBETTS Y, 2016, ",2016,"BROADENING PARTICIPATION IN THE LIFE SCIENCES WITH SOCIAL-PSYCHOLOGICAL INTERVENTIONS"
"EISEN A, 2017, ",2017,"A MODEL FOR POSTDOCTORAL EDUCATION THAT PROMOTES MINORITY AND MAJORITY SUCCESS IN THE BIOMEDICAL SCIENCES"
"MOMSEN J, 2013, ",2013,"USING ASSESSMENTS TO INVESTIGATE AND COMPARE THE NATURE OF LEARNING IN UNDERGRADUATE SCIENCE COURSES"
"BANGERA G, 2014, ",2014,"COURSE-BASED UNDERGRADUATE RESEARCH EXPERIENCES CAN MAKE SCIENTIFIC RESEARCH MORE INCLUSIVE"
"AINSCOUGH L, 2016, ",2016,"CHANGES IN BIOLOGY SELF-EFFICACY DURING A FIRST-YEAR UNIVERSITY COURSE"
"DOUGLAS KR, 2008, ",2008,"A KINESTHETIC MODEL DEMONSTRATING MOLECULAR INTERACTIONS INVOLVED IN ANTERIOR-POSTERIOR PATTERN FORMATION IN DROSOPHILA"
"LACHANCE K, 2020, ",2020,"SELF-EFFICACY AND PERFORMANCE OF RESEARCH SKILLS AMONG FIRST-SEMESTER BIOSCIENCE DOCTORAL STUDENTS"
"GREGG-JOLLY L, 2016, ",2016,"SITUATING SECOND-YEAR SUCCESS: UNDERSTANDING SECOND-YEAR STEM EXPERIENCES AT A LIBERAL ARTS COLLEGE"
"HOOPES LLM, 2010, -a",2010,"E. VIRGINIA ARMBRUST"
"GREGG CS, 2013, ",2013,"SCIENTIFIC TEACHING TARGETING FACULTY FROM DIVERSE INSTITUTIONS"
"POTTER LM, 2017, ",2017,"INVESTIGATING NOVICE AND EXPERT CONCEPTIONS OF GENETICALLY MODIFIED ORGANISMS"
"WILSON MA, 2018, ",2018,"INSTITUTIONAL INTERVENTIONS THAT REMOVE BARRIERS TO RECRUIT AND RETAIN DIVERSE BIOMEDICAL PHD STUDENTS"
"LEE CJ, 2018, ",2018,"ERROR-DISCOVERY LEARNING BOOSTS STUDENT ENGAGEMENT AND PERFORMANCE, WHITE REDUCING STUDENT ATTRITION IN A BIOINFORMATICS COURSE"
"HAYWARD CN, 2017, ",2017,"WHY WORK WITH UNDERGRADUATE RESEARCHERS? DIFFERENCES IN RESEARCH ADVISORS ' MOTIVATIONS AND OUTCOMES BY CAREER STAGE"
"HILL CFC, 2018, ",2018,"TEACHING ASSISTANT ATTENTION AND RESPONSIVENESS TO STUDENT REASONING IN WRITTEN WORK"
"MCCARTHY ML, 2010, ",2010,"BIOMAPS: A ROADMAP FOR SUCCESS"
"MORALES DX, 2016, ",2016,"INFLUENCES ON FACULTY WILLINGNESS TO MENTOR UNDERGRADUATE STUDENTS FROM ANOTHER UNIVERSITY AS PART OF AN INTERINSTITUTIONAL RESEARCH TRAINING PROGRAM"
"SCHNOES AM, 2018, ",2018,"INTERNSHIP EXPERIENCES CONTRIBUTE TO CONFIDENT CAREER DECISION MAKING FOR DOCTORAL STUDENTS IN THE LIFE SCIENCES"
"REINKE NB, 2021, ",2021,"IMMERSIVE 3D EXPERIENCE OF OSMOSIS IMPROVES LEARNING OUTCOMES OF FIRST-YEAR CELL BIOLOGY STUDENTS"
"STYERS ML, 2018, ",2018,"ACTIVE LEARNING IN FLIPPED LIFE SCIENCE COURSES PROMOTES DEVELOPMENT OF CRITICAL THINKING SKILLS"
"BATIZA AF, 2013, ",2013,"THE EFFECTS OF THE SUN PROJECT ON TEACHER KNOWLEDGE AND SELF-EFFICACY REGARDING BIOLOGICAL ENERGY TRANSFER ARE SIGNIFICANT AND LONG-LASTING: RESULTS OF A RANDOMIZED CONTROLLED TRIAL"
"WARD JR, 2014, ",2014,"EFFECTS OF A RESEARCH-INFUSED BOTANICAL CURRICULUM ON UNDERGRADUATES' CONTENT KNOWLEDGE, STEM COMPETENCIES, AND ATTITUDES TOWARD PLANT SCIENCES"
"ANGRA A, 2018, ",2018,"THE GRAPH RUBRIC: DEVELOPMENT OF A TEACHING, LEARNING, AND RESEARCH TOOL"
"DONOVAN DA, 2013, ",2013,"ADVANTAGES AND CHALLENGES OF USING PHYSICS CURRICULA AS A MODEL FOR REFORMING AN UNDERGRADUATE BIOLOGY COURSE"
"CAVANAGH AJ, 2016, ",2016,"STUDENT BUY-IN TO ACTIVE LEARNING IN A COLLEGE SCIENCE COURSE"
"MATSUI JT, 2018, ",2018,"""OUTSIDERS AT THE TABLE""-DIVERSITY LESSONS FROM THE BIOLOGY SCHOLARS PROGRAM AT THE UNIVERSITY OF CALIFORNIA, BERKELEY"
"DEANE T, 2014, ",2014,"DEVELOPMENT OF THE BIOLOGICAL EXPERIMENTAL DESIGN CONCEPT INVENTORY (BEDCI)"
"WRIGHT R, 2009, ",2009,"MINIMAL IMPACT OF ORGANIC CHEMISTRY PREREQUISITE ON STUDENT PERFORMANCE IN INTRODUCTORY BIOCHEMISTRY"
"ESTRADA M, 2016, ",2016,"IMPROVING UNDERREPRESENTED MINORITY STUDENT PERSISTENCE IN STEM"
"ZAMBRANO J, 2020, ",2020,"HIGHLIGHTING PROSOCIAL AFFORDANCES OF SCIENCE IN TEXTBOOKS TO PROMOTE SCIENCE INTEREST"
"HAUDEK KC, 2012, ",2012,"WHAT ARE THEY THINKING? AUTOMATED ANALYSIS OF STUDENT WRITING ABOUT ACID-BASE CHEMISTRY IN INTRODUCTORY BIOLOGY"
"MENENDEZ D, 2020, ",2020,"REPRESENTING VARIABILITY: THE CASE OF LIFE CYCLE DIAGRAMS"
"KNEKTA E, 2020, ",2020,"EVALUATION OF A QUESTIONNAIRE MEASURING UNIVERSITY STUDENTS' SENSE OF BELONGING TO AND INVOLVEMENT IN A BIOLOGY DEPARTMENT"
"BUTLER PJ, 2008, ",2008,"BIOENGINEERING AND BIOINFORMATICS SUMMER INSTITUTES: MEETING MODERN CHALLENGES IN UNDERGRADUATE SUMMER RESEARCH"
"ADEDOKUN OA, 2014, ",2014,"EFFECT OF TIME ON PERCEIVED GAINS FROM AN UNDERGRADUATE RESEARCH PROGRAM"
"LIU DWC, 2012, ",2012,"SCIENCE DENIAL AND THE SCIENCE CLASSROOM"
"MAHER MA, 2020, ",2020,"FINDING A FIT: BIOLOGICAL SCIENCE DOCTORAL STUDENTS' SELECTION OF A PRINCIPAL INVESTIGATOR AND RESEARCH LABORATORY"
"NERIO R, 2019, ",2019,"ONE-YEAR RESEARCH EXPERIENCE FOR ASSOCIATE'S DEGREE STUDENTS IMPACTS GRADUATION, STEM RETENTION, AND TRANSFER PATTERNS"
"GIN LE, 2020, ",2020,"IS ACTIVE LEARNING ACCESSIBLE? EXPLORING THE PROCESS OF PROVIDING ACCOMMODATIONS TO STUDENTS WITH DISABILITIES"
"HARRISON M, 2011, ",2011,"CLASSROOM-BASED SCIENCE RESEARCH AT THE INTRODUCTORY LEVEL: CHANGES IN CAREER CHOICES AND ATTITUDE"
"WILLIAMS AE, 2013, ",2013,"ASSESSMENT OF LEARNING GAINS ASSOCIATED WITH INDEPENDENT EXAM ANALYSIS IN INTRODUCTORY BIOLOGY (VOL 10, PG 346, 2011)"
"THOMPSON KV, 2013, ",2013,"COMPETENCY-BASED REFORMS OF THE UNDERGRADUATE BIOLOGY CURRICULUM: INTEGRATING THE PHYSICAL AND BIOLOGICAL SCIENCES"
"GOUVEA JS, 2021, ",2021,"POLITICAL IDENTITIES AND SCIENCE LEARNING"
"HILTON CB, 2022, ",2022,"SCALABLE SCIENCE EDUCATION VIA ONLINE COOPERATIVE QUESTIONING"
"MCEWEN LA, 2009, ",2009,"EVALUATION OF THE REDESIGN OF AN UNDERGRADUATE CELL BIOLOGY COURSE"
"FREY RF, 2020, ",2020,"USING STUDENTS' CONCEPT-BUILDING TENDENCIES TO BETTER CHARACTERIZE AVERAGE-PERFORMING STUDENT LEARNING AND PROBLEM-SOLVING APPROACHES IN GENERAL CHEMISTRY"
"BANTA L, 2012, ",2012,"COMPARISON OF A HIGHLY POLYMORPHIC OLFACTORY RECEPTOR GENE SUBFAMILY IN GENETICALLY DIVERSE DOG BREEDS"
"INDORF JL, 2019, ",2019,"ADDING AUTHENTICITY TO INQUIRY IN A FIRST-YEAR, RESEARCH-BASED, BIOLOGY LABORATORY COURSE"
"SMITH MK, 2013, ",2013,"THE CLASSROOM OBSERVATION PROTOCOL FOR UNDERGRADUATE STEM (COPUS): A NEW INSTRUMENT TO CHARACTERIZE UNIVERSITY STEM CLASSROOM PRACTICES"
